j[A/m^2],j[mA/cm^2],Vcell [V]
5.035134255,0.503513426,1.544089061
491.9447159,49.19447159,1.799956442
1068.909675,106.8909675,1.898430748
1645.874634,164.5874634,1.957267713
2222.839592,222.2839592,2.002534233
2799.804551,279.9804551,2.033717452
3376.76951,337.676951,2.064798267
3953.734469,395.3734469,2.091680507
4530.699428,453.0699428,2.117158346
5107.664386,510.7664386,2.135994538
5684.629345,568.4629345,2.159273821
6261.594304,626.1594304,2.178392147
6838.559263,683.8559263,2.193263831
7415.524222,741.5524222,2.208287659
7992.489181,799.2489181,2.225650902
8569.454139,856.9454139,2.240161037
9146.419098,914.6419098,2.252501873
9723.384057,972.3384057,2.26893888
10300.34902,1030.034902,2.280088901
10877.31397,1087.731397,2.290086143
11454.27893,1145.427893,2.303971821
12031.24389,1203.124389,2.315690917
12608.20885,1260.820885,2.325405816
13185.17381,1318.517381,2.335808287
13762.13877,1376.213877,2.346757888
14339.10373,1433.910373,2.354641423
14916.06869,1491.606869,2.363694874
15493.03365,1549.303365,2.375596835
16069.9986,1606.99986,2.383525511
16646.96356,1664.696356,2.390526697
17223.92852,1722.392852,2.401891977
17800.89348,1780.089348,2.411128501
18377.85844,1837.785844,2.415576687
18954.8234,1895.48234,2.42638146
19531.78836,1953.178836,2.436352369
20012.59249,2001.259249,2.439610562
