J [mA/cm^2],T [K],V [V]
171.131939,332.6,1.828982994
222.511135,332.6,1.893567454
308.331368,332.6,1.979394856
343.033259,332.6,2.008493476
186.456373,334.15,1.836552825
192.411792,334.15,1.844429519
198.367817,334.15,1.851162916
204.323522,334.15,1.858500395
210.279317,334.15,1.865667596
216.23523,334.15,1.872611814
222.191251,334.15,1.879353319
228.147444,334.15,1.885770485
234.103357,334.15,1.892714703
240.060087,334.15,1.898118308
246.015678,334.15,1.905670662
251.972622,334.15,1.910668842
257.928697,334.15,1.917308992
263.885072,334.15,1.923381547
269.841695,334.15,1.928987864
275.798081,334.15,1.935040148
281.754789,334.15,1.940484295
287.71139,334.15,1.946131155
293.667636,334.15,1.952446965
299.62442,334.15,1.957749214
305.581075,334.15,1.963294717
311.537246,334.15,1.969752426
317.494889,334.15,1.973432977
323.451226,334.15,1.979578509
329.40865,334.15,1.983672593
335.365143,334.15,1.989522165
341.321976,334.15,1.994731166
68.470681,343,1.605200629
113.398444,343,1.680821247
136.128123,343,1.728241319
170.23902,343,1.768472298
204.352077,343,1.804625867
238.467269,343,1.836752992
272.583804,343,1.866344477
306.705533,343,1.886137434
340.821589,343,1.916633595
