I (A/cm^2),V ,V_cell,T
0.14993395,21.32494279,1.777078566,75
0.199471598,21.89702517,1.824752098,75
0.251651255,22.42334096,1.868611747,75
0.301188904,22.97254005,1.914378337,75
0.350726552,23.54462243,1.962051869,75
0.398943197,24.02517162,2.002097635,75
0.449801849,24.597254,2.049771167,75
0.501321004,25.03203661,2.086003051,75
0.150594452,21.71395881,1.809496568,65
0.2001321,22.42334096,1.868611747,65
0.249669749,23.04118993,1.920099161,65
0.300528402,23.59038902,1.965865751,65
0.35006605,24.11670481,2.0097254,65
0.400264201,24.71167048,2.059305873,65
0.449801849,25.16933638,2.097444699,65
0.5,25.64988558,2.137490465,65
0.151254954,22.26315789,1.855263158,55
0.198811096,22.99542334,1.916285278,55
0.250990753,23.70480549,1.975400458,55
0.2998679,24.29977117,2.024980931,55
0.35006605,24.82608696,2.06884058,55
0.399603699,25.32951945,2.110793288,55
0.447159841,25.78718535,2.148932113,55
0.500660502,26.24485126,2.187070938,55
