J [mA/cm^2],Vcell [V],Temp [°C]
122.2752037,1.852878159,30
125.5383949,1.858558838,30
40.15194682,1.665311808,40
56.757135,1.709372386,40
74.37696806,1.740617451,40
90.36870429,1.767598674,40
94.61155262,1.774698855,40
119.0994818,1.811609937,40
135.1017144,1.834320654,40
154.3811333,1.857018044,40
156.9993835,1.858430883,40
38.95653188,1.61834158,50
42.205728,1.629716266,50
46.77629496,1.636815115,50
54.93077423,1.652440313,50
57.85225171,1.663816331,50
62.42281868,1.67091518,50
66.98288932,1.682284534,50
71.88117492,1.68938205,50
76.12402326,1.696482231,50
91.13260359,1.723467453,50
96.02389164,1.733411972,50
106.4898952,1.741910331,50
104.1888672,1.744766665,50
120.5433098,1.757511538,50
124.7756619,1.768882225,50
128.7012879,1.771713234,50
134.8999517,1.783075923,50
144.3758018,1.794425284,50
163.3484947,1.808582996,50
174.7591676,1.832735876,50
186.2328185,1.831265724,50
196.9705603,1.862538778,50
199.9375219,1.855409273,50
41.66225155,1.584166875,60
46.88825578,1.591263058,60
49.47851585,1.604063911,60
53.06242815,1.61259026,60
58.28143483,1.622533447,60
63.17622166,1.631054464,60
68.39522834,1.640997651,60
71.33070092,1.646679662,60
78.50202429,1.662308859,60
82.42415155,1.666563369,60
92.88665634,1.67648523,60
96.47406741,1.683588078,60
105.6291964,1.692091768,60
116.0707086,1.710554639,60
118.3437464,1.71908632,60
122.2693724,1.721917329,60
128.7992536,1.731855184,60
139.2547608,1.744624048,60
145.4604222,1.753139734,60
150.3622066,1.758813749,60
164.1018977,1.768722281,60
170.6282801,1.780083637,60
42.08443711,1.545730994,70
45.67184819,1.552833841,70
57.09651622,1.571292714,70
60.68392729,1.578395562,70
68.18996684,1.591176422,70
70.7977208,1.596859766,70
76.34444611,1.606801619,70
80.92201063,1.611053465,70
82.86732977,1.619586478,70
86.46173839,1.623842322,70
105.0577298,1.657930391,70
115.5307309,1.663581746,70
119.7875743,1.664987921,70
123.6922077,1.676359941,70
129.5806468,1.680606454,70
134.4579397,1.696244981,70
139.683944,1.703341164,70
142.305693,1.703330501,70
146.2278203,1.707585012,70
152.4404792,1.713253695,70
155.0622282,1.713243032,70
162.2510455,1.721754719,70
167.487546,1.724580397,70
113.0209427,1.618040353,80
127.7262958,1.635062395,80
131.6484231,1.639316906,80
140.7930558,1.652091101,80
145.6948401,1.657765116,80
150.9243431,1.663437797,80
154.1910331,1.667694973,80
