j[A/m^2],Vcell [V]
0.001564333,1.312727273
0.003796667,1.335
0.00734,1.353181818
0.013486667,1.367727273
0.021716667,1.384545455
0.029933333,1.4
0.039066667,1.413636364
0.048166667,1.425
0.057933333,1.438181818
0.067466667,1.449090909
0.076933333,1.459090909
0.0862,1.469545455
0.095633333,1.478636364
0.105033333,1.486363636
0.1145,1.494545455
0.1239,1.504545455
0.133333333,1.513636364
0.142766667,1.52
0.152166667,1.527727273
0.162133333,1.533636364
0.170566667,1.540909091
0.180466667,1.55
0.189866667,1.555909091
0.1993,1.564090909
0.208733333,1.570454545
0.218166667,1.576363636
0.2276,1.584545455
0.237,1.590454545
0.246433333,1.596818182
0.255866667,1.604090909
0.2653,1.609090909
0.2747,1.616363636
0.284133333,1.622272727
0.293566667,1.629090909
0.303,1.635454545
0.3122,1.640909091
0.321833333,1.646818182
0.330766667,1.653636364
0.340666667,1.658636364
0.35,1.665454545
0.359666667,1.672272727
0.369,1.677272727
0.378333333,1.682727273
0.387666667,1.688636364
0.397333333,1.693636364
0.403,1.697272727
